time,linear_x,linear_y,linear_z,angular_z
6.410000,0.049350,0.000000,0.000000,0.000000
6.440000,0.051450,0.000000,0.000000,0.000000
6.470000,0.053550,0.000000,0.000000,0.000000
6.500000,0.055650,0.000000,0.000000,0.000000
6.520000,0.057200,0.000000,0.000000,0.000000
6.550000,0.059600,0.000000,0.000000,0.000000
6.590000,0.062800,0.000000,0.000000,0.000000
6.610000,0.064400,0.000000,0.000000,0.000000
6.640000,0.066800,0.000000,0.000000,0.000000
6.670000,0.069200,0.000000,0.000000,0.000000
6.700000,0.071600,0.000000,0.000000,0.000000
6.730000,0.074250,0.000000,0.000000,0.000000
6.760000,0.076950,0.000000,0.000000,0.000000
6.790000,0.079650,0.000000,0.000000,0.000000
6.820000,0.082350,0.000000,0.000000,0.000000
6.850000,0.085050,0.000000,0.000000,0.000000
6.870000,0.086850,0.000000,0.000000,0.000000
6.890000,0.088650,0.000000,0.000000,0.000000
6.920000,0.091500,0.000000,0.000000,0.000000
6.950000,0.094500,0.000000,0.000000,0.000000
6.980000,0.097500,0.000000,0.000000,0.000000
7.010000,0.100500,0.000000,0.000000,0.000000
7.040000,0.103500,0.000000,0.000000,0.000000
7.070000,0.106500,0.000000,0.000000,0.000000
7.100000,0.109500,0.000000,0.000000,0.000000
7.140000,0.113150,0.000000,0.000000,0.000000
7.160000,0.114950,0.000000,0.000000,0.000000
7.190000,0.117650,0.000000,0.000000,0.000000
7.220000,0.120350,0.000000,0.000000,0.000000
7.250000,0.123050,0.000000,0.000000,0.000000
7.280000,0.125750,0.000000,0.000000,0.000000
7.310000,0.128400,0.000000,0.000000,0.000000
7.340000,0.130800,0.000000,0.000000,0.000000
7.360000,0.132400,0.000000,0.000000,0.000000
7.400000,0.135600,0.000000,0.000000,0.000000
7.430000,0.138000,0.000000,0.000000,0.000000
7.460000,0.140400,0.000000,0.000000,0.000000
7.490000,0.142800,0.000000,0.000000,0.000000
7.520000,0.145050,0.000000,0.000000,0.000000
7.540000,0.146450,0.000000,0.000000,0.000000
7.570000,0.148550,0.000000,0.000000,0.000000
7.600000,0.150650,0.000000,0.000000,0.000000
7.630000,0.152750,0.000000,0.000000,0.000000
7.660000,0.154850,0.000000,0.000000,0.000000
7.690000,0.156950,0.000000,0.000000,0.000000
7.720000,0.158900,0.000000,0.000000,0.000000
7.740000,0.160100,0.000000,0.000000,0.000000
7.770000,0.161900,0.000000,0.000000,0.000000
7.810000,0.164300,0.000000,0.000000,0.000000
7.830000,0.165500,0.000000,0.000000,0.000000
7.860000,0.167300,0.000000,0.000000,0.000000
7.890000,0.169100,0.000000,0.000000,0.000000
7.920000,0.170750,0.000000,0.000000,0.000000
7.950000,0.172250,0.000000,0.000000,0.000000
7.970000,0.173250,0.000000,0.000000,0.000000
8.000000,0.174750,0.000000,0.000000,0.000000
8.030000,0.176250,0.000000,0.000000,0.000000
8.070000,0.178250,0.000000,0.000000,0.000000
8.090000,0.179250,0.000000,0.000000,0.000000
8.110000,0.180200,0.000000,0.000000,0.000000
8.140000,0.181400,0.000000,0.000000,0.000000
8.160000,0.182200,0.000000,0.000000,0.000000
8.190000,0.183400,0.000000,0.000000,0.000000
8.220000,0.184600,0.000000,0.000000,0.000000
8.250000,0.185800,0.000000,0.000000,0.000000
8.280000,0.187000,0.000000,0.000000,0.000000
8.300000,0.187800,0.000000,0.000000,0.000000
8.340000,0.189050,0.000000,0.000000,0.000000
8.370000,0.189950,0.000000,0.000000,0.000000
8.400000,0.190850,0.000000,0.000000,0.000000
8.430000,0.191750,0.000000,0.000000,0.000000
8.450000,0.192350,0.000000,0.000000,0.000000
8.490000,0.193550,0.000000,0.000000,0.000000
8.510000,0.194100,0.000000,0.000000,0.000000
8.540000,0.194700,0.000000,0.000000,0.000000
8.580000,0.195500,0.000000,0.000000,0.000000
8.600000,0.195900,0.000000,0.000000,0.000000
8.630000,0.196500,0.000000,0.000000,0.000000
8.660000,0.197100,0.000000,0.000000,0.000000
8.690000,0.197700,0.000000,0.000000,0.000000
8.720000,0.198150,0.000000,0.000000,0.000000
8.750000,0.198450,0.000000,0.000000,0.000000
8.780000,0.198750,0.000000,0.000000,0.000000
8.810000,0.199050,0.000000,0.000000,0.000000
8.840000,0.199350,0.000000,0.000000,0.000000
8.870000,0.199650,0.000000,0.000000,0.000000
8.900000,0.199950,0.000000,0.000000,0.000000
8.930000,0.200000,0.000000,0.000000,0.000000
8.960000,0.200000,0.000000,0.000000,0.000000
8.980000,0.200000,0.000000,0.000000,0.000000
9.010000,0.200000,0.000000,0.000000,0.000000
9.050000,0.200000,0.000000,0.000000,0.000000
9.080000,0.200000,0.000000,0.000000,0.000000
9.110000,0.200000,0.000000,0.000000,0.000000
9.140000,0.200000,0.000000,0.000000,0.000000
9.170000,0.200000,0.000000,0.000000,0.000000
9.190000,0.200000,0.000000,0.000000,0.000000
9.220000,0.200000,0.000000,0.000000,0.000000
9.250000,0.200000,0.000000,0.000000,0.000000
9.280000,0.200000,0.000000,0.000000,0.000000
9.310000,0.200000,0.000000,0.000000,0.000000
9.340000,0.200000,0.000000,0.000000,0.000000
9.370000,0.200000,0.000000,0.000000,0.000000
9.400000,0.200000,0.000000,0.000000,0.000000
9.430000,0.200000,0.000000,0.000000,0.000000
9.460000,0.200000,0.000000,0.000000,0.000000
9.490000,0.200000,0.000000,0.000000,0.000000
9.520000,0.200000,0.000000,0.000000,0.000000
9.540000,0.200000,0.000000,0.000000,0.000000
9.570000,0.200000,0.000000,0.000000,0.000000
9.600000,0.200000,0.000000,0.000000,0.000000
9.630000,0.200000,0.000000,0.000000,0.000000
9.660000,0.200000,0.000000,0.000000,0.000000
9.680000,0.200000,0.000000,0.000000,0.000000
9.710000,0.200000,0.000000,0.000000,0.000000
9.740000,0.200000,0.000000,0.000000,0.000000
9.760000,0.200000,0.000000,0.000000,0.000000
9.790000,0.200000,0.000000,0.000000,0.000000
9.820000,0.200000,0.000000,0.000000,0.000000
9.850000,0.200000,0.000000,0.000000,0.000000
9.880000,0.200000,0.000000,0.000000,0.000000
9.900000,0.200000,0.000000,0.000000,0.000000
9.930000,0.200000,0.000000,0.000000,0.000000
9.970000,0.200000,0.000000,0.000000,0.000000
10.000000,0.200000,0.000000,0.000000,0.000000
10.020000,0.200000,0.000000,0.000000,0.000000
10.050000,0.200000,0.000000,0.000000,0.000000
10.090000,0.200000,0.000000,0.000000,0.000000
10.110000,0.200000,0.000000,0.000000,0.000000
10.140000,0.200000,0.000000,0.000000,0.000000
10.160000,0.200000,0.000000,0.000000,0.000000
10.200000,0.200000,0.000000,0.000000,0.000000
10.230000,0.200000,0.000000,0.000000,0.000000
10.250000,0.200000,0.000000,0.000000,0.000000
10.270000,0.200000,0.000000,0.000000,0.000000
10.300000,0.200000,0.000000,0.000000,0.000000
10.330000,0.200000,0.000000,0.000000,0.000000
10.360000,0.200000,0.000000,0.000000,0.000000
10.390000,0.200000,0.000000,0.000000,0.000000
10.420000,0.200000,0.000000,0.000000,0.000000
10.440000,0.200000,0.000000,0.000000,0.000000
10.470000,0.200000,0.000000,0.000000,0.000000
10.500000,0.200000,0.000000,0.000000,0.000000
10.520000,0.200000,0.000000,0.000000,0.000000
10.560000,0.200000,0.000000,0.000000,0.000000
10.590000,0.200000,0.000000,0.000000,0.000000
10.620000,0.200000,0.000000,0.000000,0.000000
10.640000,0.200000,0.000000,0.000000,0.000000
10.670000,0.200000,0.000000,0.000000,0.000000
10.700000,0.200000,0.000000,0.000000,0.000000
10.730000,0.200000,0.000000,0.000000,0.000000
10.760000,0.200000,0.000000,0.000000,0.000000
10.780000,0.200000,0.000000,0.000000,0.000000
10.820000,0.200000,0.000000,0.000000,0.000000
10.850000,0.200000,0.000000,0.000000,0.000000
10.870000,0.200000,0.000000,0.000000,0.000000
10.900000,0.200000,0.000000,0.000000,0.000000
10.930000,0.200000,0.000000,0.000000,0.000000
10.960000,0.200000,0.000000,0.000000,0.000000
10.990000,0.200000,0.000000,0.000000,0.000000
11.020000,0.200000,0.000000,0.000000,0.000000
11.050000,0.200000,0.000000,0.000000,0.000000
11.080000,0.200000,0.000000,0.000000,0.000000
11.110000,0.200000,0.000000,0.000000,0.000000
11.130000,0.200000,0.000000,0.000000,0.000000
11.160000,0.200000,0.000000,0.000000,0.000000
11.190000,0.200000,0.000000,0.000000,0.000000
11.230000,0.200000,0.000000,0.000000,0.000000
11.250000,0.200000,0.000000,0.000000,0.000000
11.280000,0.200000,0.000000,0.000000,0.000000
11.300000,0.200000,0.000000,0.000000,0.000000
11.330000,0.200000,0.000000,0.000000,0.000000
11.360000,0.200000,0.000000,0.000000,0.000000
11.390000,0.200000,0.000000,0.000000,0.000000
11.420000,0.200000,0.000000,0.000000,0.000000
11.450000,0.200000,0.000000,0.000000,0.000000
11.470000,0.200000,0.000000,0.000000,0.000000
11.500000,0.200000,0.000000,0.000000,0.000000
11.530000,0.200000,0.000000,0.000000,0.000000
11.560000,0.200000,0.000000,0.000000,0.000000
11.590000,0.200000,0.000000,0.000000,0.000000
11.610000,0.200000,0.000000,0.000000,0.000000
11.640000,0.200000,0.000000,0.000000,0.000000
11.670000,0.200000,0.000000,0.000000,0.000000
11.700000,0.200000,0.000000,0.000000,0.000000
11.730000,0.200000,0.000000,0.000000,0.000000
11.750000,0.200000,0.000000,0.000000,0.000000
11.770000,0.200000,0.000000,0.000000,0.000000
11.800000,0.200000,0.000000,0.000000,0.000000
11.830000,0.200000,0.000000,0.000000,0.000000
11.860000,0.200000,0.000000,0.000000,0.000000
11.880000,0.200000,0.000000,0.000000,0.000000
11.910000,0.200000,0.000000,0.000000,0.000000
11.940000,0.200000,0.000000,0.000000,0.000000
11.960000,0.200000,0.000000,0.000000,0.000000
11.980000,0.200000,0.000000,0.000000,0.000000
12.000000,0.200000,0.000000,0.000000,0.000000
12.030000,0.200000,0.000000,0.000000,0.000000
12.060000,0.200000,0.000000,0.000000,0.000000
12.090000,0.200000,0.000000,0.000000,0.000000
12.120000,0.200000,0.000000,0.000000,0.000000
12.140000,0.200000,0.000000,0.000000,0.000000
12.160000,0.200000,0.000000,0.000000,0.000000
12.190000,0.200000,0.000000,0.000000,0.000000
12.220000,0.200000,0.000000,0.000000,0.000000
